"Suicide rate, female (per 100,000 people, age-standardized)"
"Dimension: Human security"
"SDG 3.4 By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being"
"Definition: Number of deaths from purposely self-inflicted injuries, expressed per 100,000 people in the reference population. The rates are age-standardized."
"Source: WHO (World Health Organization) (2020). Global Health Observatory. www.who.int/gho/. Accessed 21 July 2020."
""
"106"," Uzbekistan","4.5","","3.3","","4.5","","4.6",""
"140"," Vanuatu","5.1","","3.2","","2.7","","2.7",""
"113"," Venezuela (Bolivarian Republic of)","2.4","","1.5","","1.2","","1.2",""
"117"," Viet Nam","3.9","","3.5","","3.5","","3.4",""
"179"," Yemen","5.5","","6.6","","6.3","","6.2",""
"146"," Zambia","7.5","","6.2","","6.1","","6.2",""
"150"," Zimbabwe","9.8","","11.1","","11.1","","11.1",""
"36"," Andorra","..","","..","","..","","..",""
"94"," Dominica","..","","..","","..","","..",""
"4"," Hong Kong, China (SAR)","..","","..","","..","","..",""
"74"," Saint Kitts and Nevis","..","","..","","..","","..",""
"19"," Liechtenstein","..","","..","","..","","..",""
"117"," Marshall Islands","..","","..","","..","","..",""
"50"," Palau","..","","..","","..","","..",""
"115"," Palestine, State of","..","","..","","..","","..",""
"","Human Development","","","..","","..","","..",""
" ","Very high human development","6.4","","6.2","","5.8","","5.6",""
" ","High human development","10.0","","7.1","","5.7","","5.5",""
" ","Medium human development","12.4","","11.3","","10.8","","10.9",""
" ","Low human development","10.4","","9.6","","8.9","","9.0",""
" ","Developing Countries","10.6","","8.8","","7.9","","7.7",""
"","Regions","","","..","","..","","..",""
" ","Arab States","3.4","","2.9","","2.8","","2.8",""
" ","East Asia and the Pacific","12.2","","8.7","","6.9","","6.8",""
" ","Europe and Central Asia","5.8","","4.9","","4.2","","4.1",""
" ","Latin America and the Caribbean","2.9","","2.9","","3.1","","3.0",""
" ","South Asia","13.6","","12.4","","11.8","","11.6",""
" ","Sub-Saharan Africa","10.5","","9.5","","8.8","","8.6",""
" ","Least Developed Countries","8.3","","7.3","","6.7","","6.6",""
" ","Small Island Developing States","5.9","","4.5","","4.4","","4.3",""
" ","Organization for Economic Co-operation and Development","5.2","","5.6","","5.5","","5.3",""
" ","World","9.9","","8.4","","7.6","","7.4",""
""
